Timepoint,Treatment,Tissue,Replicate,Plate,# Mp Colonies
21,Crown Inoculation,Crown,A,4,5
21,Crown Inoculation,Crown,A,5,9
21,Crown Inoculation,Crown,A,6,5
21,Crown Inoculation,Crown,A,7,9
21,Crown Inoculation,Crown,B,1,0
21,Crown Inoculation,Crown,B,2,1
21,Crown Inoculation,Crown,B,3,1
21,Crown Inoculation,Crown,B,4,2
21,Crown Inoculation,Crown,B,5,1
21,Crown Inoculation,Crown,B,6,1
21,Crown Inoculation,Crown,B,7,1
21,Crown Inoculation,Crown,C,1,0
21,Crown Inoculation,Crown,C,2,2
21,Crown Inoculation,Crown,C,3,3
21,Crown Inoculation,Crown,C,4,3
21,Crown Inoculation,Crown,C,5,2
21,Crown Inoculation,Crown,C,6,2
21,Crown Inoculation,Crown,C,7,7
21,Crown Inoculation,Crown,D,1,1
21,Crown Inoculation,Crown,D,2,0
21,Crown Inoculation,Crown,D,3,1
21,Crown Inoculation,Crown,D,4,0
21,Crown Inoculation,Crown,D,5,1
21,Crown Inoculation,Crown,D,6,1
21,Crown Inoculation,Crown,D,7,0
21,Crown Inoculation,Crown,E,1,2
21,Crown Inoculation,Crown,E,2,1
21,Crown Inoculation,Crown,E,3,1
21,Crown Inoculation,Crown,E,4,1
21,Crown Inoculation,Crown,E,5,0
21,Crown Inoculation,Crown,E,6,0
21,Crown Inoculation,Crown,E,7,0
21,Crown Inoculation,Roots,A,1,1
21,Crown Inoculation,Roots,A,2,1
21,Crown Inoculation,Roots,A,3,0
21,Crown Inoculation,Roots,A,4,0
21,Crown Inoculation,Roots,A,5,0
21,Crown Inoculation,Roots,A,6,0
21,Crown Inoculation,Roots,A,7,0
21,Crown Inoculation,Roots,B,1,0
21,Crown Inoculation,Roots,B,2,1
21,Crown Inoculation,Roots,B,3,0
21,Crown Inoculation,Roots,B,4,0
